task_id,arima_nmae,arima_da,ets_nmae,ets_da,llmp_no_context_nmae,llmp_no_context_da,llmp_with_context_nmae,llmp_with_context_da,gpt4o_mini_no_context_nmae,gpt4o_mini_no_context_da,gpt4o_mini_with_context_nmae,gpt4o_mini_with_context_da,arima_score,ets_score,llmp_with_context_score,gpt4o_mini_with_context_score,selected_model
task_000,0.0848173116247368,0.4545454545454545,0.1146577784213013,0.5393939393939394,0.0865609164950414,0.4545454545454545,0.0862923624016579,0.4545454545454545,0.1753478433230519,0.4545454545454545,0.125474991056148,0.509090909090909,0.6000000000000001,0.7064223318804523,0.3854880967379411,0.25714285714285695,ets
task_001,0.0474274973528181,0.5853658536585366,0.051327866616559,0.5853658536585366,0.042663907920576,0.5914634146341463,0.0438926085533493,0.4512195121951219,0.3110317113971925,0.4146341463414634,0.2244708706087715,0.5853658536585366,0.9921698464494384,0.9835301149128843,0.4,0.4,arima
task_002,0.0616515085347561,0.0,0.1206825491387531,0.6144578313253012,0.0741595654457883,0.6144578313253012,0.0746390244365542,0.6144578313253012,0.4504338580135569,0.3855421686746988,0.2010461959101525,0.3855421686746988,0.6000000000000001,0.8306074880887715,0.762731676087993,0.2509803921568628,ets
task_003,0.0427297492290234,0.8658536585365854,0.0473271808693066,0.7865853658536586,0.0428510158703943,0.8658536585365854,0.0429861390196384,0.8658536585365854,0.3103764669180728,0.1585365853658536,0.205639204675787,0.8658536585365854,1.0,0.5887116886428103,0.7993704729049351,0.4,arima
task_004,0.1380040116537317,0.9404761904761904,1.6814826660282844,0.0714285714285714,0.242985808989051,0.9404761904761904,0.2457421311508305,0.9404761904761904,0.5790965708218864,0.1011904761904761,1.025305648895067,0.1369047619047619,1.0,0.2,0.7720791423472568,0.20018845161278698,arima
task_005,0.062311490851657,0.3780487804878049,0.0881772447053307,0.3780487804878049,0.0635343780427081,0.3780487804878049,0.0722601801441787,0.3780487804878049,0.1025204327266153,0.5792682926829268,0.1510166411356695,0.3780487804878049,0.6000000000000001,0.4833630120873127,0.3551381661124821,0.0,arima
task_006,0.0666129334041451,0.3803680981595092,0.0600341594880824,0.3619631901840491,0.0689878184363896,0.3803680981595092,0.0761741335614573,0.3803680981595092,0.0970520103424742,0.4785276073619632,0.2240260676490094,0.3803680981595092,0.9839534182147405,0.6000000000000001,0.7606322671542145,0.4,arima
task_007,0.1294301251452913,0.9696969696969696,0.1420914890284163,0.2242424242424242,0.1282415921646537,0.9696969696969696,0.1253149195726808,0.9696969696969696,0.1265331730015161,0.896969696969697,0.1382757358707586,0.9696969696969696,0.9018820722921126,0.2,0.8,0.49097815063384626,arima
task_008,0.0856724957518659,0.0,0.0950497780238507,0.6325301204819277,0.0822131520437647,0.6325301204819277,0.0821833020728026,0.6325301204819277,0.1585683250521606,0.3674698795180723,0.189724892990041,0.5662650602409639,0.5870219748497174,0.952143256050769,0.8,0.3580952380952382,ets
task_009,0.1619909906173602,1.0,0.1821201823926668,1.0,0.1624197966488457,1.0,0.1618353930954453,1.0,0.1728956856894193,0.9078947368421052,0.1645654606490115,1.0,0.5969317399429692,0.2,0.4,0.34616522728308263,arima
